ts,open,high,low,close,volume
2025-07-11 13:30:00+00:00,142.60000610351562,144.19000244140625,141.60000610351562,144.04730224609375,10507849
2025-07-11 14:30:00+00:00,144.05999755859375,145.27000427246094,143.91000366210938,145.18960571289062,8404845
2025-07-11 15:30:00+00:00,145.19000244140625,145.7949981689453,144.8699951171875,145.60000610351562,7357929
2025-07-11 16:30:00+00:00,145.60000610351562,147.39999389648438,145.30999755859375,147.13040161132812,7469907
2025-07-11 17:30:00+00:00,147.13999938964844,147.22999572753906,146.44000244140625,146.67999267578125,5808265
2025-07-11 18:30:00+00:00,146.6699981689453,147.07000732421875,145.91000366210938,146.3300018310547,4103884
2025-07-11 19:30:00+00:00,146.32000732421875,147.00999450683594,146.27000427246094,146.4398956298828,4011770
2025-07-14 13:30:00+00:00,145.10000610351562,145.60000610351562,141.91000366210938,144.05999755859375,14064276
2025-07-14 14:30:00+00:00,144.0500030517578,145.77999877929688,144.0,145.57470703125,6188218
2025-07-14 15:30:00+00:00,145.57000732421875,146.80999755859375,145.35000610351562,146.57989501953125,5046772
2025-07-14 16:30:00+00:00,146.5800018310547,147.25999450683594,146.07000732421875,146.77000427246094,4183567
2025-07-14 17:30:00+00:00,146.77000427246094,147.5800018310547,146.3300018310547,146.66000366210938,4485278
2025-07-14 18:30:00+00:00,146.64999389648438,146.75,146.1699981689453,146.42999267578125,2903544
2025-07-14 19:30:00+00:00,146.41000366210938,146.5449981689453,145.97000122070312,146.22999572753906,2849084
2025-07-15 13:30:00+00:00,153.80499267578125,158.67999267578125,153.55999755859375,156.7100067138672,45225827
2025-07-15 14:30:00+00:00,156.67999267578125,157.3249969482422,154.76499938964844,155.52630615234375,11813345
2025-07-15 15:30:00+00:00,155.52499389648438,156.8300018310547,155.1699981689453,156.1992950439453,8168353
2025-07-15 16:30:00+00:00,156.19000244140625,156.2100067138672,154.66000366210938,155.52999877929688,5378929
2025-07-15 17:30:00+00:00,155.5399932861328,156.5,155.27000427246094,155.54440307617188,4764104
2025-07-15 18:30:00+00:00,155.55999755859375,155.7899932861328,154.1199951171875,154.50999450683594,5907021
2025-07-15 19:30:00+00:00,154.52999877929688,156.1300048828125,154.5,155.57000732421875,6548909
2025-07-16 13:30:00+00:00,155.3000030517578,156.32000732421875,154.2100067138672,155.00999450683594,14593245
2025-07-16 14:30:00+00:00,155.0,155.4499969482422,153.8000030517578,154.66949462890625,6552051
2025-07-16 15:30:00+00:00,154.6199951171875,155.2570037841797,152.85000610351562,154.25,5480905
2025-07-16 16:30:00+00:00,154.2613983154297,155.88999938964844,154.1802978515625,155.7003936767578,3942680
2025-07-16 17:30:00+00:00,155.67999267578125,157.41000366210938,155.61000061035156,157.0399932861328,6034268
2025-07-16 18:30:00+00:00,157.0500030517578,158.95989990234375,156.89999389648438,158.85000610351562,9108454
2025-07-16 19:30:00+00:00,158.80999755859375,160.36000061035156,158.70489501953125,160.1199951171875,9891350
2025-07-17 13:30:00+00:00,161.80999755859375,161.9600067138672,159.14999389648438,160.25999450683594,16526836
2025-07-17 14:30:00+00:00,160.25999450683594,160.60000610351562,158.91000366210938,159.1638946533203,6860634
2025-07-17 15:30:00+00:00,159.16000366210938,160.41000366210938,158.77999877929688,159.7550048828125,7309943
2025-07-17 16:30:00+00:00,159.7899932861328,160.10000610351562,159.0,159.22000122070312,3312959
2025-07-17 17:30:00+00:00,159.22000122070312,159.5500030517578,158.97000122070312,159.13999938964844,3181078
